,Var21,Var38,Var44,Var65,Var73,Var76,Var85,Var109,Var112,Var113,Var123,Var125,Var126,Var133,Var134,Var144,Var160,Var173,Var189,Var196,Var197,Var205,Var207,Var210,Var211,Var217,Var218,Var220,Var221,Var222,Var227,Var228,Var229,Var126_na,Var189_na
0,64.0,0.0,0.0,36.0,200.0,414816.0,6.0,96.0,56.0,-177468.4,0.0,3465.0,-0.05740560122613905,0.0,19146.0,45.0,0.0,0.0,273.3267882187938,0.0,196.0,2.0,4.0,5.0,0.0,7171.0,2.0,224.0,6.0,1762.0,3.0,10.0,2.0,1,1
1,148.0,5577498.0,0.0,9.0,22.0,5472032.0,10.0,40.0,16.0,118763.6,66.0,0.0,4.0,3583495.0,35456.0,9.0,24.0,0.0,273.3267882187938,0.0,126.0,2.0,10.0,5.0,0.0,7898.0,2.0,339.0,4.0,255.0,2.0,8.0,0.0,0,1
2,984.0,5449656.0,9.0,9.0,20.0,620688.0,108.0,424.0,472.0,196783.2,174.0,0.0,-0.05740560122613905,2150020.0,212448.0,9.0,122.0,0.0,120.0,0.0,2.0,0.0,10.0,5.0,1.0,3250.0,1.0,2257.0,4.0,797.0,2.0,8.0,0.0,1,0
3,276.0,33576.0,0.0,9.0,80.0,34960.0,24.0,96.0,40.0,-323799.6,12.0,73278.0,32.0,212430.0,290364.0,0.0,26.0,0.0,273.3267882187938,0.0,191.0,1.0,10.0,5.0,0.0,8409.0,1.0,2097.0,4.0,2703.0,2.0,8.0,2.0,0,1
4,24.0,950682.0,0.0,9.0,20.0,4838400.0,0.0,0.0,8.0,-374466.4,6.0,0.0,-20.0,6048000.0,360.0,9.0,4.0,0.0,273.3267882187938,0.0,196.0,2.0,10.0,5.0,1.0,8216.0,2.0,339.0,4.0,255.0,2.0,8.0,0.0,0,1
5,452.0,5082.0,0.0,9.0,40.0,828448.0,14.0,112.0,232.0,-19157.72,36.0,1008.0,16.0,819840.0,252704.0,9.0,76.0,0.0,273.3267882187938,0.0,103.0,2.0,10.0,5.0,0.0,4200.0,1.0,2075.0,4.0,989.0,2.0,8.0,0.0,0,1
6,544.0,4571388.0,0.0,9.0,56.0,2280248.0,36.0,160.0,112.0,-245824.0,192.0,3771.0,-0.05740560122613905,2590690.0,475260.0,9.0,62.0,0.0,273.3267882187938,0.0,2.0,2.0,9.0,5.0,0.0,5011.0,1.0,1359.0,6.0,413.0,1.0,29.0,1.0,1,1
7,237.15696174127677,2542855.7024060315,0.17063976050559929,14.98720682302772,8.0,1469236.5344273201,8.603614591418117,61.575502571295,66.41268433307462,-2179580.0,62.14946224636878,26720.4071372461,4.0,2280445.402483646,437493.0191817275,11.660720296196567,39.23006985253354,0.007983146690320434,273.3267882187938,0.0,117.0,2.0,10.0,5.0,1.0,5754.0,2.0,946.0,4.0,1520.0,2.0,8.0,0.0,0,1
8,20.0,0.0,0.0,9.0,134.0,0.0,2.0,8.0,0.0,3786.1440000000002,0.0,161487.0,54.0,3615.0,13116.0,27.0,2.0,0.0,150.0,0.0,31.0,3.0,10.0,5.0,0.0,4490.0,2.0,435.0,4.0,1551.0,2.0,2.0,0.0,0,0
9,52.0,603408.0,0.0,9.0,112.0,9466080.0,0.0,0.0,24.0,92587.6,6.0,3087.0,-16.0,3799075.0,475340.0,36.0,10.0,0.0,318.0,0.0,91.0,2.0,10.0,5.0,1.0,3330.0,2.0,457.0,4.0,2371.0,2.0,2.0,1.0,0,0
